kernel,C,gamma,accuracy,execution_time
rbf_ngram_kernel,64,0.03125,0.982213439,4576.633895
rbf_ngram_kernel,64,0.015625,0.982213439,5762.689421
rbf_ngram_kernel,64,0.0078125,0.982213439,5829.697406
rbf_nh_kernel,64,0.125,0.984189723,6249.377894
rbf_nh_kernel,64,0.0625,0.984189723,6363.034212
rbf_nh_kernel,64,0.03125,0.984189723,3866.872935
rbf_nh_kernel,64,0.015625,0.984189723,6415.435375
rbf_nh_kernel,64,0.0078125,0.984189723,4344.981213
rbf_nh_kernel,4,0.125,0.982213439,6259.704604
rbf_nh_kernel,4,0.0625,0.982213439,6354.911045
rbf_nh_kernel,4,0.03125,0.982213439,6199.809048
rbf_nh_kernel,4,0.015625,0.982213439,6466.569608
rbf_nh_kernel,4,0.0078125,0.982213439,6382.67549
rbf_nh_kernel,8,0.125,0.982213439,6422.028158
rbf_nh_kernel,8,0.0625,0.982213439,5516.030194
rbf_nh_kernel,8,0.03125,0.982213439,6464.917053
rbf_nh_kernel,8,0.015625,0.982213439,6048.957038
rbf_nh_kernel,8,0.0078125,0.982213439,6138.280089
rbf_nh_kernel,16,0.125,0.982213439,6128.961936
rbf_nh_kernel,16,0.0625,0.982213439,6193.301365
rbf_nh_kernel,16,0.03125,0.982213439,3513.894719
rbf_nh_kernel,16,0.015625,0.982213439,6160.025919
rbf_nh_kernel,16,0.0078125,0.982213439,6380.740938
rbf_nh_kernel,32,0.125,0.982213439,6390.125721
rbf_nh_kernel,32,0.0625,0.982213439,3571.814248
rbf_nh_kernel,32,0.03125,0.982213439,5773.665252
rbf_nh_kernel,32,0.015625,0.982213439,6424.909698
rbf_nh_kernel,32,0.0078125,0.982213439,6342.58183
